date,spot_close,perp_close,basis_pct_mean,log_basis_bps_mean,funding_rate_daily
2026-02-28 00:00:00+00:00,1964.71,1965.25,-0.012048152831654857,-1.2052522288171403,-0.7827509999999992
2026-03-01 00:00:00+00:00,1939.68,1939.15,-0.007094405708320258,-0.7096805811405519,0.04696700000000009
2026-03-02 00:00:00+00:00,2027.49,2027.75,-0.006657283379976617,-0.6659103248263243,-0.08963699999999991
2026-03-03 00:00:00+00:00,1982.87,1981.8,-0.0014155604172584252,-0.14180306605382498,-0.008117999999999898
2026-03-04 00:00:00+00:00,2127.61,2127.85,0.01127682094854465,1.1271899499161926,0.5733609999999996
2026-03-05 00:00:00+00:00,2072.99,2074.1,0.016909631724087493,1.6905377677463769,0.4048069999999997
2026-03-06 00:00:00+00:00,1978.49,1979.05,0.012979906106607325,1.2975949025676818,0.5321889999999992
2026-03-07 00:00:00+00:00,1969.61,1969.15,-0.005724134937199375,-0.572619290458339,-0.0573639999999995
2026-03-08 00:00:00+00:00,1936.93,1936.65,-0.02339929085544744,-2.3405113974994673,-2.297877999999999
2026-03-09 00:00:00+00:00,1993.19,1993.8,0.013495247892445368,1.34936707696857,0.027178999999999898
2026-03-10 00:00:00+00:00,2036.8,2037.0,-0.0002526027611637958,-0.025518386867669676,-0.12743600000000008
2026-03-11 00:00:00+00:00,2052.25,2052.7,0.0164205371867477,1.6417030597837279,0.6676329999999998
2026-03-12 00:00:00+00:00,2074.0,2074.1,0.005909628949743896,0.5908056240929346,0.096689
2026-03-13 00:00:00+00:00,2092.81,2093.2,0.02874327232155097,2.8736810217659206,2.6036459999999995
2026-03-14 00:00:00+00:00,2096.7,2096.5,0.01793978759663802,1.7936914391769587,0.0998439999999997
2026-03-15 00:00:00+00:00,2178.67,2178.95,0.025190868587926487,2.5185559492827783,0.868506999999999
2026-03-16 00:00:00+00:00,2352.94,2353.0,0.02257670573967691,2.257287027068733,2.1187949999999987
2026-03-17 00:00:00+00:00,2318.03,2318.45,0.020244913420273934,2.024082958373974,1.7500549999999993
2026-03-18 00:00:00+00:00,2203.47,2203.6,0.011650467422152434,1.1646466129737003,0.4906159999999995
2026-03-19 00:00:00+00:00,2137.98,2137.5,0.0014416612492143537,0.14394584183989126,0.0025809999999999995
2026-03-20 00:00:00+00:00,2145.89,2147.2,0.020318132134498398,2.031419552279331,0.8200919999999994
2026-03-21 00:00:00+00:00,2084.64,2080.75,0.023077534999795857,2.3063931745792576,1.1474659999999992
2026-03-22 00:00:00+00:00,2053.49,2053.35,-0.0023007079147036877,-0.2302936737556364,-0.031722999999999696
2026-03-23 00:00:00+00:00,2151.71,2152.2,0.018047853340971233,1.8040284450334305,-2.096477000000001
2026-03-24 00:00:00+00:00,2155.56,2155.475,0.019961863311860676,1.9958239547268608,0.1484389999999996
2026-03-25 00:00:00+00:00,2167.98,2168.55,0.007345856679277775,0.7344415459912638,-0.0051820000000001
2026-03-26 00:00:00+00:00,2058.74,2059.05,0.019262219998969925,1.9259409724355543,0.018052
2026-03-27 00:00:00+00:00,1991.55,1991.05,-0.02165098920085121,-2.165566705312205,-2.2397379999999987
