daily_funding_bps,100bps APY,200bps APY,300bps APY,400bps APY,500bps APY,600bps APY,700bps APY,800bps APY
-3,-1045.0,-945.0,-845.0,-745.0,-645.0,-545.0,-445.0,-345.0
-2,-680.0,-580.0,-480.0,-380.0,-280.0,-180.0,-80.0,20.0
-1,-315.0,-215.0,-115.0,-15.0,85.0,185.0,285.0,385.0
0,50.0,150.0,250.0,350.0,450.0,550.0,650.0,750.0
1,415.0,515.0,615.0,715.0,815.0,915.0,1015.0,1115.0
2,780.0,880.0,980.0,1080.0,1180.0,1280.0,1380.0,1480.0
3,1145.0,1245.0,1345.0,1445.0,1545.0,1645.0,1745.0,1845.0
4,1510.0,1610.0,1710.0,1810.0,1910.0,2010.0,2110.0,2210.0
5,1875.0,1975.0,2075.0,2175.0,2275.0,2375.0,2475.0,2575.0
6,2240.0,2340.0,2440.0,2540.0,2640.0,2740.0,2840.0,2940.0
