scenario,day,margin_ratio_bps,health_factor
Favorable,0,2000.0,4.0
Favorable,1,2005.0,4.01
Favorable,2,2010.0,4.02
Favorable,3,2015.0,4.03
Favorable,4,2020.0,4.04
Favorable,5,2025.0,4.05
Favorable,6,2030.0,4.06
Favorable,7,2035.0,4.07
Favorable,8,2040.0,4.08
Favorable,9,2045.0,4.09
Favorable,10,2050.0,4.1
Favorable,11,2055.0,4.11
Favorable,12,2060.0,4.12
Favorable,13,2065.0,4.13
Favorable,14,2070.0,4.14
Favorable,15,2075.0,4.15
Favorable,16,2080.0,4.16
Favorable,17,2085.0,4.17
Favorable,18,2090.0,4.18
Favorable,19,2095.0,4.19
Favorable,20,2100.0,4.2
Favorable,21,2105.0,4.21
Favorable,22,2110.0,4.22
Favorable,23,2115.0,4.23
Favorable,24,2120.0,4.24
Favorable,25,2125.0,4.25
Favorable,26,2130.0,4.26
Favorable,27,2135.0,4.27
Favorable,28,2140.0,4.28
Favorable,29,2145.0,4.29
Favorable,30,2150.0,4.3
Neutral,0,2000.0,4.0
Neutral,1,2003.0,4.006
Neutral,2,2006.0,4.012
Neutral,3,2009.0,4.018
Neutral,4,2012.0,4.024
Neutral,5,2015.0,4.03
Neutral,6,2018.0,4.036
Neutral,7,2021.0,4.042
Neutral,8,2024.0,4.048
Neutral,9,2027.0,4.054
Neutral,10,2030.0,4.06
Neutral,11,2033.0,4.066
Neutral,12,2036.0,4.072
Neutral,13,2039.0,4.078
Neutral,14,2042.0,4.084
Neutral,15,2045.0,4.09
Neutral,16,2048.0,4.096
Neutral,17,2051.0,4.102
Neutral,18,2054.0,4.108
Neutral,19,2057.0,4.114
Neutral,20,2060.0,4.12
Neutral,21,2063.0,4.126
Neutral,22,2066.0,4.132
Neutral,23,2069.0,4.138
Neutral,24,2072.0,4.144
Neutral,25,2075.0,4.15
Neutral,26,2078.0,4.156
Neutral,27,2081.0,4.162
Neutral,28,2084.0,4.168
Neutral,29,2087.0,4.174
Neutral,30,2090.0,4.18
Backwardation,0,2000.0,4.0
Backwardation,1,2068.0,4.136
Backwardation,2,2135.51,4.271
Backwardation,3,2202.53,4.4051
Backwardation,4,2269.07,4.5381
Backwardation,5,2335.13,4.6703
Backwardation,6,2400.72,4.8014
Backwardation,7,2465.83,4.9317
Backwardation,8,2530.47,5.0609
Backwardation,9,2594.65,5.1893
Backwardation,10,2658.36,5.3167
Backwardation,11,2721.61,5.4432
Backwardation,12,2784.4,5.5688
Backwardation,13,2846.74,5.6935
Backwardation,14,2908.63,5.8173
Backwardation,15,2970.08,5.9402
Backwardation,16,3031.08,6.0622
Backwardation,17,3091.64,6.1833
Backwardation,18,3151.76,6.3035
Backwardation,19,3211.44,6.4229
Backwardation,20,3270.7,6.5414
Backwardation,21,3329.52,6.659
Backwardation,22,3387.92,6.7758
Backwardation,23,3445.9,6.8918
Backwardation,24,3503.45,7.0069
Backwardation,25,3560.59,7.1212
Backwardation,26,3617.32,7.2346
Backwardation,27,3673.63,7.3473
Backwardation,28,3729.54,7.4591
Backwardation,29,3785.04,7.5701
Backwardation,30,3840.14,7.6803
GBM Volatile,0,2000.0,4.0
GBM Volatile,1,1906.5,3.813
GBM Volatile,2,2236.12,4.4722
GBM Volatile,3,2008.78,4.0176
GBM Volatile,4,1710.37,3.4207
GBM Volatile,5,2324.45,4.6489
GBM Volatile,6,2716.63,5.4333
GBM Volatile,7,2682.82,5.3656
GBM Volatile,8,2778.99,5.558
GBM Volatile,9,2786.61,5.5732
GBM Volatile,10,3035.78,6.0716
GBM Volatile,11,2789.5,5.579
GBM Volatile,12,2565.45,5.1309
GBM Volatile,13,2551.59,5.1032
GBM Volatile,14,2215.07,4.4301
GBM Volatile,15,2072.83,4.1457
GBM Volatile,16,2342.57,4.6851
GBM Volatile,17,2232.43,4.4649
GBM Volatile,18,2528.52,5.057
GBM Volatile,19,2266.68,4.5334
GBM Volatile,20,2285.85,4.5717
GBM Volatile,21,2345.41,4.6908
GBM Volatile,22,2556.42,5.1128
GBM Volatile,23,2189.03,4.3781
GBM Volatile,24,2240.25,4.4805
GBM Volatile,25,2374.87,4.7497
GBM Volatile,26,2486.15,4.9723
GBM Volatile,27,2329.59,4.6592
GBM Volatile,28,2222.13,4.4443
GBM Volatile,29,2098.66,4.1973
GBM Volatile,30,1970.42,3.9408
